category,period,amount,vendor,notes
Marketing,Q1 2026,45000,AdCo Sdn Bhd,Standard quarterly campaign spend
Marketing,Q1 2026,12000,BrightAds Marketing Sdn Bhd,Social media ad placements
Marketing,Q1 2026,8600,Social Buzz Agency Sdn Bhd,Influencer campaign package
Marketing,Q2 2026,198000,AdCo Sdn Bhd,Approved by: Ahmad bin Hassan
Marketing,Q2 2026,13500,BrightAds Marketing Sdn Bhd,Social media ad placements
Marketing,Q3 2026,52000,AdCo Sdn Bhd,Standard quarterly campaign spend
Marketing,Q3 2026,14200,BrightAds Marketing Sdn Bhd,Social media ad placements
Marketing,Q3 2026,19500,Digital Reach Media Sdn Bhd,Programmatic display campaign
Marketing,Q4 2026,58000,AdCo Sdn Bhd,Standard quarterly campaign spend
Marketing,Q4 2026,15000,BrightAds Marketing Sdn Bhd,Social media ad placements
Marketing,Q4 2026,22000,Digital Reach Media Sdn Bhd,Year-end brand campaign
Office Supplies,Q1 2026,480,Stationery Plus Sdn Bhd,Monthly restock
Office Supplies,Q1 2026,320,PrintWorks Supplies Sdn Bhd,Toner and paper
Office Supplies,Q1 2026,210,EcoPrint Supplies Sdn Bhd,Recycled paper stock
Office Supplies,Q2 2026,510,Stationery Plus Sdn Bhd,Monthly restock
Office Supplies,Q2 2026,340,PrintWorks Supplies Sdn Bhd,Toner and paper
Office Supplies,Q3 2026,495,Stationery Plus Sdn Bhd,Monthly restock
Office Supplies,Q3 2026,8500,Unusual Vendor Sdn Bhd,Reviewed by: Siti Nurhaliza binti Rahman
Office Supplies,Q3 2026,355,PrintWorks Supplies Sdn Bhd,Toner and paper
Office Supplies,Q4 2026,520,Stationery Plus Sdn Bhd,Monthly restock
Office Supplies,Q4 2026,330,PrintWorks Supplies Sdn Bhd,Toner and paper
Travel & Accommodation,Q1 2026,8200,SkyLink Travel Agency Sdn Bhd,Client site visits
Travel & Accommodation,Q1 2026,5400,ComfortStay Hotels Sdn Bhd,Regional team offsite
Travel & Accommodation,Q2 2026,9100,SkyLink Travel Agency Sdn Bhd,Client site visits
Travel & Accommodation,Q2 2026,6200,ComfortStay Hotels Sdn Bhd,Regional team offsite
Travel & Accommodation,Q3 2026,15800,SkyLink Travel Agency Sdn Bhd,Contact: 012-3456789
Travel & Accommodation,Q3 2026,7100,ComfortStay Hotels Sdn Bhd,Regional team offsite
Travel & Accommodation,Q3 2026,4200,AsiaWide Airlines Sdn Bhd,Conference travel — Singapore
Travel & Accommodation,Q4 2026,9800,SkyLink Travel Agency Sdn Bhd,Client site visits
Travel & Accommodation,Q4 2026,6500,ComfortStay Hotels Sdn Bhd,Regional team offsite
Travel & Accommodation,Q4 2026,4600,AsiaWide Airlines Sdn Bhd,Year-end partner summit
IT & Software,Q1 2026,12000,CloudTech Solutions Sdn Bhd,Monthly SaaS subscription
IT & Software,Q1 2026,3200,DevTools Malaysia Sdn Bhd,Developer license renewal
IT & Software,Q1 2026,8900,SecureNet Systems Sdn Bhd,Endpoint security licenses
IT & Software,Q2 2026,12500,CloudTech Solutions Sdn Bhd,Monthly SaaS subscription
IT & Software,Q2 2026,3400,DevTools Malaysia Sdn Bhd,Developer license renewal
IT & Software,Q3 2026,14000,CloudTech Solutions Sdn Bhd,Monthly SaaS subscription
IT & Software,Q3 2026,14000,CloudTech Solutions Sdn Bhd,Monthly SaaS subscription
